Source,Reference,Translation
"Sur BFMTV, Nicolas Dupont-Aignan s’est lui interrogé sur un possible « coup politique avec Bernard Tapie », qui avait prêté début janvier les locaux du journal La Provence à des « gilets jaunes », dont Ingrid Levavasseur.","Auf BFMT hat Nicolas Dupont-Aignan einen ""politischen Zusammenschluss mit Bernard Tapie"" in den Raum gestellt, der Anfang Januar den ""Geldwesten"" die Räumlichkeiten der Zeitung La Provence zur Verfügung stellte, darunter Ingrid Lavavasseur.","Über BFMTV, hat sich Nicolas Dupont-Aignan über einen möglichen ""politischen Coup mit Bernard Tapie"" geäußert, der Anfang Januar die Räumlichkeiten des Journals La Provence an die ""Gelbwesten"" verliehen hatte, darunter Ingrid Levavasseur."
"La liste a également été très critiquée par certains «gilets jaunes», comme Maxime Nicolle ou Eric Drouet.","Die Liste wurde ebenfalls sehr kritisiert von gewissen ""Gelbwesten"" wie Maxime Nicolle oder Eric Drouet.","Die Liste wurde auch von einigen ""Gelbwesten"" stark kritisiert, wie Maxime Nicolle oder Eric Drouet.

Hinweis: ""Gelbwesten"" ist die deutsche Übersetzung für ""gilets jaunes"", die sich auf die Gelbwesten der Demonstranten bezieht, die während der Gelbwesten-Proteste in Frankreich 2018/2019 getragen wurden."
"« Voter Gilets jaunes, c’est voter Macron », prévient dans un communiqué « La France en colère!!! ».","Gelbwesten wählen heißt Macron wählen"", wird in der Mittteilung ""La France en colère!!!"" gewarnt. ».",""" 'Gilets jaunes wählen, ist Macron wählen', warnt 'La France en colère!!!' in einer Erklärung.""

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht abgeändert werden. 

Eine mögliche alternative Übersetzung wäre:

"" Wer für die 'Gilets jaunes' stimmt, stimmt für Macron, warnt 'La France en colère!!!' in einer Erklärung.""

Diese Übersetzung ist ein bisschen freier und bringt den Inhalt besser zum Ausdruck."
"Sur Facebook, plusieurs internautes dénoncent l’utilisation du terme « gilets jaunes » ou ciblent le profil des candidats, comme celui de Marc Doyer, ancien soutien d’En Marche.","Auf Facebook kritisieren einige Nutzer die Verwendung des Begriffs ""Gelbwesten"" oder kritisieren das Profil des Kandidaten, wie dem von Marc Doyer, ein ehemaliger Unterstützer von En Marche.","Über Facebook kritisieren mehrere Internetnutzer die Verwendung des Begriffs ""Gelbwesten"" oder zielen auf die Profilbilder der Kandidaten, wie das von Marc Doyer, einem ehemaligen Unterstützer von En Marche.

Hinweis: ""Gilets jaunes"" wird in der deutschen Übersetzung oft als ""Gelbwesten"" bezeichnet, da ""Gelbwestenbewegung"" oder ""Gelbwestenprotest"" bereits in der deutschen Sprache bekannt ist."
Comment comptent-ils financer leur campagne ?,Womit wollen sie ihre Kampagne finanzieren?,"Die Übersetzung des französischen Textes lautet:

 Wie planen sie ihre Kampagne zu finanzieren?"
Faire campagne n’est pas gratuit.,Wahlkampf machen kostet Geld.,"Die Wahlkampagne ist nicht kostenlos.

Hinweis: ""Faire campagne"" ist ein französischer Ausdruck, der ""Wahlkampagne"" oder ""Politik"" bedeutet. In diesem Kontext ist die Übersetzung ""Wahlkampagne"" am passendsten."
Les candidats doivent notamment imprimer leur bulletin pour approvisionner le maximum de bureaux de vote.,Die Kandidaten müssen insbesondere ihre Zettel ausdrucken um die Wahlbüros mit einem Maximum davon auszustatten.,"Die Kandidaten müssen insbesondere ihren Stimmzettel drucken, um die meisten Wahllokale zu versorgen.

Hinweis: 
- ""Les candidats"" wird in diesem Kontext wahrscheinlich ""Die Kandidaten"" oder ""Die Bewerber"" bedeuten, da ""candidats"" im Französischen ""Bewerber"" oder ""Kandidaten"" bedeutet.
- ""leur bulletin"" wird als ""ihren Stimmzettel"" übersetzt, da ""bulletin"" im Französischen ""Stimmzettel"" bedeutet.
- ""approvisionner"" wird als ""zu versorgen"" übersetzt, da ""approvisionner"" im Französischen ""zu versorgen"" oder ""zurücklegen"" bedeutet.
- ""le maximum"" wird als ""die meisten"" übersetzt, da ""le maximum"" im Französischen ""das Maximum"" oder ""die meisten"" bedeutet.
- ""bureaux de vote"" wird als ""Wahllokale"" übersetzt, da ""bureaux de vote"" im Französischen ""Wahllokale"" bedeutet."
"D’après le Figaro, le mouvement est toujours à la recherche de fonds, d’un minimum de 700.000 à 800.000 euros.","Dem Figaro zufolge sucht die Bewegung immer noch Finanzierungsquellen, mindestens 700.000 bis 800.000 Euro.","Nach Figaro sucht der Verein weiterhin nach Spenden, in Höhe von mindestens 700.000 bis 800.000 Euro.

Hinweis: ""le mouvement"" kann auch ""der Verein"" oder ""die Bewegung"" übersetzt werden, je nach Kontext. Ich habe mich für ""der Verein"" entschieden, da es sich um eine Organisation handelt, die nach Geldern sucht."
"« Nous avons pour l’instant à peu près 10 % de cette somme. Nous allons lancer un appel aux dons et peut-être une campagne de crowdfunding », assure au quotidien Hayc Shahinyan, le directeur de campagne.","""Momentan haben wir etwa 10 Prozent dieser Summe. Wir werden einen Appell starten zu einer Crowdfunding-Kampagne"", versichert Hayc Shahinyan, der Leiter der Kampagne, in der Sendung Quotidien.","""Wir haben derzeit etwa 10 % dieses Betrags. Wir werden einen Spendenaufruf und möglicherweise eine Crowdfunding-Kampagne starten"", versichert Hayc Shahinyan, der Kampagnenleiter, dem Tagesblatt.

Hinweis: Ich habe versucht, den Text so genau wie möglich zu übersetzen. Es ist jedoch wichtig zu beachten, dass die Übersetzung von Zeitungen und Medien oft von der Sprachrichtigkeit und dem Stil abhängt."
"Problème: les dons privés, qui ne peuvent excéder 4.600 euros par personne, doivent être versés au compte d’un mandataire, intermédiaire obligatoire entre les candidats et les tiers.","Das Problem: die privaten Spenden, 4600 Euro pro Person nicht überschreiten dürfen, müssen auf ein Konto eines Dritten gehen, der zwischen den Kandidaten und dem Spendenden steht.","Übersetzung:

Problem: Die privaten Spenden, die nicht mehr als 4.600 Euro pro Person betragen dürfen, müssen auf ein Konto eines Bevollmächtigten überwiesen werden, der Zwischenhändler ist und zwischen den Kandidaten und Dritten obligatorisch ist.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Kontextualisierung angepasst werden."
Ceci exclut tout financement utilisant une cagnotte Internet.,Und somit scheidet die Finanzierung in Form eines Online-Spendentopfs aus.,"Dies ausschließt jeden Finanzierungsvorschlag, der eine Internet-Sperrkasse verwendet.

Alternativ:
Dies schließt alle Finanzierungen aus, die eine Internet-Sperrkasse verwenden.

Oder:
Dies schließt alle Finanzierungen mit Internet-Sperrkassen aus."
"« En l’état des textes et dans la mesure où les fonds sont recueillis par un intermédiaire autre que le mandataire financier ou l’association de financement, la pratique du financement participatif (« crowdfunding ») n’est pas conforme à la législation », indique la Commission nationale des comptes de campagne.","""Nach dem Gesetz ist die Vergabe von Finanzmitteln an jemand anderen als die Mittelsperson zwischen Spendenden und Kandidaten verboten, darunter fällt auch eine kollektive Finanzierung in Form einer partizipativen Kampagne (""crowdfunding"")"",  so die Nationale Kommission für Wahlkampffinanzierung.","""Da die Texte so stehen und soweit die Gelder durch einen Dritten gesammelt werden, der nicht der Finanzvermittler oder die Finanzierungsgesellschaft ist, ist die Praxis des Crowdfunding nicht mit der Gesetzgebung vereinbar"", so die nationale Wahlkampfkontrollkommission.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
L’Etat rembourse les frais de campagne pour toute liste obtenant au moins 3 % des suffrages exprimés.,"Der Staat erstattet die Wahlkampfkosten für Parteien, die mindestens 3 Prozent der Stimmen erhalten haben.","Die Regierung erstattet die Wahlkampfkosten für jede Liste, die mindestens 3 % der abgegebenen Stimmen erhält.

Hinweis: ""L'Etat"" wird in der deutschen Übersetzung mit ""Die Regierung"" wiedergegeben, da ""L'Etat"" im französischen Kontext oft die Regierung oder den Staat meint, während ""Die Regierung"" im deutschen Kontext eine genauere Übersetzung ist."
"Selon un sondage Elabe pour BFMTV publié mercredi et réalisé avant l’annonce, «une liste gilets jaunes» arriverait en troisième position avec 13 % des voix. Elections européennes de 2019: Pourquoi Macron veut-il changer le scrutin?","Laut einer Umfrage von Elabe für BFMTV, veröffentlicht am Mittwoch vor der Ankündigung, würde eine ""Liste der Gelbwesten"", mit etwa 13 Prozent der Stimmen die drittstärkste Partei werden. Europawahlen 2019: Warum will Macron die Wahl verändern?","Hier ist die Übersetzung des französischen Textes ins Deutsche:

Laut einer Umfrage von Elabe für BFMTV, die am Mittwoch veröffentlicht wurde und vor der Ankündigung durchgeführt wurde, würde ""eine Liste der Gelbwesten"" auf dem dritten Platz landen mit 13 % der Stimmen. Europawahlen 2019: Warum will Macron das Wahlsystem ändern?

Hinweis: Die Übersetzung ist eine direkte Übersetzung des Textes. Die Übersetzung von ""une liste gilets jaunes"" ist nicht ganz präzise, da ""Gelbwesten"" in Deutschland nicht so bekannt ist wie in Frankreich. Eine mögliche bessere Übersetzung wäre ""eine Liste der Gelbwestenbewegung"" oder ""eine Liste der Gelbwesten-Partei""."
"Depuis 2004, la France est divisée en huit circonscriptions pour les élections européennes.",Seit 2004 ist Frankreich für die Europawahlen in acht Wahlkreise aufgeteilt.,"Seit 2004 ist Frankreich in acht Wahlkreise für die Europawahlen aufgeteilt.

Hinweis: Die Übersetzung ist korrekt, aber es ist zu beachten, dass die Europawahlen in Deutschland und Frankreich unterschiedliche Bezeichnungen haben. In Deutschland werden sie als Europawahlen bezeichnet, während in Frankreich die Bezeichnung ""élections européennes"" verwendet wird."
Le président souhaite revenir à un scrutin avec des listes nationales et il consulte les partis politiques sur cette réforme.,Der Präsident würde gerne zu einer Wahl zurückfinden mit nationalen Listen und sucht dazu bei den Parteien das Gespräch.,"Der Präsident möchte zurückkehren zu einem Wahlverfahren mit nationalen Listen und er konsultiert die politischen Parteien über diese Reform.

Hinweis: 
- ""scrutin"" wird hier mit ""Wahlverfahren"" übersetzt, da ""scrutin"" im Kontext von Wahlen verwendet wird.
- ""listes nationales"" wird mit ""nationalen Listen"" übersetzt, da ""listes"" im Kontext von Wahlen verwendet wird.
- ""partis politiques"" wird mit ""politischen Parteien"" übersetzt, da ""partis"" im Kontext von Politik verwendet wird."
"Ce scrutin, première élection intermédiaire de son mandat, constitue un enjeu très important pour le président de la République, dont le parti LREM a encore peu d'ancrage territorial.","Diese Wahl ist die erste seiner Amtszeit und stellt eine besondere Herausforderung dar für den Präsident der Republik, dessen Partei LREM immer noch eher regional verankert ist.","Übersetzung:

Dieser Wahltag, die erste Zwischenwahl während seines Amtsjahres, ist für den Präsidenten der Republik ein sehr wichtiger Punkt, da sein Partei LREM noch wenig territoriale Verankerung hat.

Hinweis: LREM ist die französische Partei ""La République En Marche!"" (Die Republik geht voran!). Die Übersetzung ist daher ""Die Republik geht voran!"" oder ""La République En Marche!"".

Alternativ kann man auch ""LREM"" als ""LREM - Die Republik geht voran!"" oder ""LREM - La République En Marche!"" übersetzen, um die französische Partei genauer zu beschreiben."
"Depuis 2004, la France est divisée en huit circonscriptions pour les élections européennes.",Seit 2004 ist Frankreich für die Europawahlen in acht Wahlkreise aufgeteilt.,"Seit 2004 ist Frankreich in acht Wahlkreise für die Europawahlen aufgeteilt.

Hinweis: Die Übersetzung ist korrekt, aber es gibt auch eine alternative Übersetzung, die ""Wahlbezirke"" verwendet, anstatt ""Wahlkreise"". Beide Begriffe sind in Deutschland gebräuchlich, aber ""Wahlbezirke"" ist in Frankreich und anderen Ländern häufiger verwendet.

Alternative Übersetzung:
Seit 2004 ist Frankreich in acht Wahlbezirke für die Europawahlen aufgeteilt."
Le président souhaite revenir à un scrutin avec des listes nationales et il consulte les partis politiques sur cette réforme.,Der Präsident würde gerne zu einer Wahl zurückfinden mit nationalen Listen und sucht dazu bei den Parteien das Gespräch.,"Der Präsident möchte zurückkehren zu einem Wahlverfahren mit nationalen Listen und er konsultiert die politischen Parteien über diese Reform.

Hinweis: Die Übersetzung ist wörtlich und kann je nach Kontext und Nuance leicht angepasst werden."
"Ce scrutin, première élection intermédiaire de son mandat, constitue un enjeu très important pour le président de la République, dont le parti LREM a encore peu d'ancrage territorial.","Diese Wahl ist die erste seiner Amtszeit und stellt eine besondere Herausforderung dar für den Präsident der Republik, dessen Partei LREM immer noch eher regional verankert ist.","Übersetzung:

Dieser Wahltag, die erste Zwischenwahl während seines Amtsjahres, stellt für den Präsidenten der Republik ein sehr wichtiges Thema dar, bei dem die Partei LREM noch wenig territoriale Verankerung hat.

Hinweis: LREM ist die französische Partei ""La République En Marche!"" (Die Republik geht voran!). Die Übersetzung ist daher ""Die Republik geht voran!"" oder ""Die Republik voran!"".

Alternativ kann man auch ""LREM"" als ""Die Bewegung der Republik"" übersetzen, was eine bessere Übersetzung ist, da ""En Marche!"" nicht direkt übersetzt werden kann.

Die endgültige Übersetzung wäre also:

Dieser Wahltag, die erste Zwischenwahl während seines Amtsjahres, stellt für den Präsidenten der Republik ein sehr wichtiges Thema dar, bei dem die Partei ""Die Republik geht voran!"" noch wenig territoriale Verankerung hat."
Le sujet peut sembler technique et l’échéance lointaine.,Das Thema erscheint eher theoretisch und weit weg.,"Die Sache kann sich technisch anmuten und die Frist ist fern.

Hier ist eine mögliche Übersetzung mit mehr Kontext:

- ""Le sujet"" kann auch als ""die Sache"" oder ""das Thema"" übersetzt werden.
- ""peut sembler"" bedeutet ""kann sich anmuten"" oder ""kann sich so anhören"".
- ""technique"" bedeutet ""technisch"".
- ""l'échéance"" bedeutet ""die Frist"" oder ""die Deadline"".
- ""lointaine"" bedeutet ""fern"" oder ""weit entfernt"".

Es ist auch möglich, die Übersetzung wie folgt zu formulieren:

- ""Die Sache kann sich technisch anmuten und die Frist ist weit entfernt.""
- ""Das Thema kann sich technisch anmuten und die Deadline ist fern."""
