file,model,lang_pair,src_lang,tgt_lang,direction,source,translation,reference,COMET
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ali sisenes ühte kõige meestekesksemasse valdkonda ja lisaks seisis tema teel ees katsumus üritada astuda välja oma isa varjust, kes oli üleilme ikoon.","The Estonian text translates to English as: ""He entered one of the most masculine fields and besides stood his test to step out of his father's shadow, who was an over-the-world icon.""",Ali entered one of the most male-dominated industries and had the added struggle of carving out her own place beyond the shadow of her global icon father.,0.6964839100837708
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Need kaks pehmelt öeldes pakatavad läbi raskuste omandatud teadmistest.,"The translation of the Estonian text to English is:
""Two soft words convey through difficulties the knowledge acquired.""",To say the two are brimming with hard-learned advice is an understatement.,0.565622866153717
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Seetõttu istusime nende mõjukate naistega maha, et rääkida ebaõnnestumiste ületamisest, eduga toimetulekust ning oma kõhutunde usaldamisest äris ja suhetes.","Based on the context, it seems like the text is about discussing overcoming failures, coping with stress, and trusting one's instincts in relationships. Here's a possible translation:
 Therefore, we sat down with those influential women to talk about overcoming failures, coping with stress, and trusting one's instincts in relationships.","So we sat down with the two powerhouses to talk overcoming failure, navigating success and trusting their gut instincts in business and relationships.",0.7055689692497253
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Mis inspireerib teid tegema seda, millega tegelete iga päev?",What inspires you to do what you do every day?,What inspires both of you to do what you do every day?,0.9573469161987305
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Laila Ali: Mind inspireerivad iga päev mu isiklikud eesmärgid.,"Laila Ali: Every day, my personal goals inspire me.",Laila Ali: I'm inspired on a daily basis by my personal goals.,0.9110594987869263
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Olen kujundanud harjumuse kirjutada üles asju, mida soovin saavutada.",I have outlined habits to write down things I want to achieve.,I make it a habit to write down what it is that I want to accomplish.,0.8478610515594482
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Ja ma vaatan seda nimekirja.,"I'm sorry, but I don't have the capability to translate text directly. However, I can help you with other tasks or provide information if you need it. Is there anything else you'd like to do?",And I check that list.,0.409974068403244
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Pean end vastutavaks.,I'm responsible for it.,I keep myself accountable.,0.7162443399429321
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Loomulikult inspireerivad mind mu lapsed.,"The text translates to: ""Naturally, my children inspire me.""","My kids inspire me, of course.",0.8245595097541809
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Minu ambitsioonid inspireerivad mind.,"The translation of the Estonian text ""Minu ambitsioonid inspireerivad mind"" to English is ""My ambitions inspire me.""",My ambition inspires me.,0.5460442900657654
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Soovin olla võidukas kõiges, mida elus teen.",I want to be successful in everything I do in life.,I want to win at everything that I do in life.,0.9046925902366638
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Mõistan, et mu eesmärkide saavutamine nõuab ränka tööd, aga olen valmis seda tegema.","I understand that achieving my goals requires hard work, but I'm ready to put in the effort.",I understand that it takes hard work to reach my goals and I'm prepared to do it.,0.9388035535812378
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Minu enesekindlus tuleneb ettevalmistusest.,"The translation of the Estonian text ""Minu enesekindlus tuleneb ettevalmistusest"" to English is ""My self-confidence comes from preparation.""",My confidence comes from preparation.,0.628791332244873
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Seega kulutan rohkelt aega ettevalmistamisele.,So I spend a lot of time preparing.,So I spend a lot of my time preparing.,0.9550198912620544
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Barbara Corcoran: Nagu Lailalgi, on minu enesekindluse võtmeks liignegi ettevalmistus, kuid ma ei ammuta oma inspiratsiooni sellest.","The translation of the Estonian text to English is:
 ""Just like Laila, my self-confidence is my preparation, but I don't draw my inspiration from it.""","Barbara Corcoran: Much like Laila, over preparation is my key to confidence, but I don't get my inspiration from that.",0.7431775331497192
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Tegelikult pakub mulle inspiratsiooni ehe uudishimu.,"The translation of the Estonian text to English is:
 ""It actually offers me inspiration with its new curiosity.""",I really get my inspiration from just sheer curiosity.,0.5899286270141602
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Mis juhtub, kui ma seda teen?","The translation of the Estonian text ""Mis juhtub, kui ma seda teen?"" is ""What happens if I do this?""",What will happen if I do this?,0.6095024943351746
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Mis jääb olemata, kui ma seda ei tee?",What remains if I don't do it?,What won't happen if I don't do this?,0.8831073641777039
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"See uudishimu paneb mind hommikul voodist tõusma, kuna ma ei suuda ära oodata, mida päev endaga toob.","This curiosity drives me to get up in the morning, because I can't wait to see what the day will bring.","That curiosity gets my feet on the floor in the morning, because I can't wait to see what the day brings.",0.8778098821640015
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Kui ma mõnel päeval ei tunne sedamoodi, siis lihtsalt teesklen neid tundeid.","When I don't feel that way on some day, I just pretend those feelings.","When I don't feel that way on certain days, I pretend I feel that way.",0.9024400115013123
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Siis jään iseenda häma uskuma ja saangi jälle inspiratsiooni.,Then I find it hard to believe in myself again and I need inspiration once more.,Then I start falling for my own baloney and I get inspired again.,0.7279982566833496
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Rääkige mõnest takistusest oma karjääris, mis muutis teid pikas perspektiivis hoopis paremaks.",Speak about some obstacle in your career that changed you for the better in the long run.,Tell us about a hurdle or a roadblock in your career that ended up making you better in the long run?,0.8724668025970459
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Barbara Corcoran: Minu jaoks oli kõige raskem, kui mu äripartnerist kallim mind maha jättis ja mu sekretäriga abiellus.","For me, the hardest part was when my business partner left me and my secretary got married.",Barbara Corcoran: The hardest thing that happened to me was when my business partner and boyfriend left me and married my secretary.,0.793221116065979
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Lõpetasin äri aasta hiljem, kuid see aasta mu elust - viiendaks rattaks olemine - oli kohutav, kuna mul ei olnud piisavalt enesekindlust, et lahkuda.","I finished my business year later, but that year was a fifth wheel in my life, because I didn't have enough self-confidence to leave.","I ended the business a year later, but for that year of my life - being the third wheel - it was terrible, because I didn't have the confidence to leave.",0.7891986966133118
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Tundsin end alistatuna, puudus igasugune inspiratsioon.","I felt defeated, lacking any kind of inspiration.","I felt shot down, uninspired.",0.8891436457633972
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Aga hämmastavaid asju juhtub.,It seems like there's a missing part in the text you provided. Could you please complete it?,But amazing things happen.,0.4346003830432892
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Kõige raskem on uskuda sellesse hetkedel, kui sind tabavad tagasilöögid.","The most difficult thing is to believe in this moment, when you are hit by setbacks.","If only you could believe that when you're getting hit, which is the hard part.",0.730425238609314
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Enda jalule ajamisele ja äri uuesti nullist alustamisele - seekord ilma partnerita - kulunud aasta oli äärmiselt raske.,"The translation of the Estonian text to English is:
""Last year, which was extremely difficult, was spent on rebuilding and starting business again from scratch, without partners.""","But getting back up and starting the business all over again, minus the partner, was a very, very difficult year.",0.7121415138244629
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Laila Ali: Ma ütleks, et minu karjääris oli kõige raskem aeg siis, kui ma tegelesin poksimisega, olin oma karjääri tipus ja otsustasin lahutuse sisse anda.","Laila Ali: I would say that the most challenging time in my career was when I was involved in boxing, at the peak of my career, and I decided to take a break.","Laila Ali: I would say one of the toughest times I've had in my career was when I was in boxing, I was at the height of my career and decided I was going to get a divorce.",0.8149082660675049
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ma ei lahutanud ainuüksi oma abikaasast, vaid ka tollasest mänedžerist ja inimesest, kes õpetas mulle kõik, mida tean poksimise kohta.","I did not just separate from my spouse, but also from the manager and the person who taught me everything I know about poker.","I was divorcing not only my husband, but also my manager at the time and the person who taught me everything I knew about boxing.",0.7635861039161682
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ma ei uskunud, et suudan ilma temata hakkama saada.",I didn't believe I could manage without them.,I didn't think that I could do it without him.,0.9142974019050598
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Seega hakkasin muretsema oma karjääri tuleviku pärast ja pidin leidma aja, et astuda sammuke tagasi ja öelda endale: ""Sul on kõik vajalikud teadmised ja kogemused.","So I started worrying about my career's future and had to find time to take a step back and tell myself: ""You have all the necessary knowledge and experiences.""","So I became concerned about the future of my career and had to take the time to step back and say, ""Hey, you have all the knowledge and expertise.",0.8927040696144104
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Sul on kõik need kogemused poksiringis.,You have all those experiences in boxing.,You have all this experience in the ring.,0.829484760761261
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Sa suudad seda kahtlemata teha.""","The translation of the Estonian text ""Sa suudad seda kahtlemata teha."" is ""You can do that without hesitation.""","You can definitely do it.""",0.5687834024429321
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Niisiis moodustasin enda ümber uue meeskonna ja jätkasin oma karjääri.,I formed a new team around myself and continued my career.,So I surrounded myself with a new team of people and continued on with my career.,0.9215592741966248
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Tegelikult oli vaja lihtsalt õige meeleseisund saavutada, kuna kõik ülejäänu sai tõuke sealt.","The translation of the Estonian text to English is:
""Actually, it was just necessary to achieve a good mental state, because everything else got in the way from there.""",It was really just getting my mindset in the right place because everything kind of took off from there.,0.6828067898750305
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Tegin seda, mida oli vaja teha, pidin seisma silmitsi hirmuga ja leidma julguse vabaneda oma abikaasast ja mänedžerist ning jätkata oma karjääriga. Ja kõik lahenes.","I did what needed to be done, stood still facing fear, and found the courage to free myself from my husband and manager, and continue my career. And everything worked out.",I did what I needed to do and I had to face that fear and find the courage to get rid of my husband and my manager and continue on with my career and it worked out.,0.898188591003418
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Millal tundsite, et olete tõesti edu saavutanud?",When do you feel that you have truly achieved success?,You felt like you really made it when ...,0.8063187003135681
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Laila Ali: Tundsin, et olen edu saavutanud, kui võitsin oma esimese meistrivõistluste tiitli.",I knew that I had achieved success when I won my first championship title.,Laila Ali: I felt like I really made it when I won my first championship title.,0.8530876040458679
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"See oli tõeliselt hea tunne, kuna poksimisega alustades soovisin olla üks parimatest, olla võitmatu.","This feeling was truly great, because starting with poker, I wished to be one of the best, to be unbeatable.","It really felt good, because when I entered the sport of boxing I wanted to be one of the best and be undefeated.",0.8074891567230225
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ma suutsin selle sihi saavutada ja ma ei võitnud meistrivõistluste tiitlit mitte ühel, vaid neljal korral.","I aimed to achieve this goal and I didn't win the championship title just once, but four times.","And I was able to attain that, not just one championship title, but four.",0.8630667924880981
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Barbara Corcoran: Üks hetk, mil tundsin, et olen edu saavutanud, oli mu üheteistkümnendal tegutsemisaastal.","One moment, when I felt I had achieved success, was on my 21st year of working.",Barbara Corcoran: The one point that I felt like I made it was my eleventh year of business.,0.8047551512718201
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Olin lõpuks kasumisse jõudnud.,I finally ended up in profit.,I finally made a profit.,0.883560061454773
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Olin teeninud ligikaudu 42 000 dollari suuruse kasumi, mida ma ei osanud oodata.","I have earned approximately $42,000 in profit, which I did not expect.","I had close to $42,000 in profit that I was not expecting.",0.9226865172386169
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Läksin kohe välja ning ostsin nii emale kui ka isale uue auto. Neil ei olnud kunagi uut autot olnud. Lasin autod toimetada Floridasse, kus nad oma pensionipõlve pidasid.","I immediately went out and bought a new car for both my mom and dad. They had never had a new car before. I had the cars delivered to Florida, where they spent their retirement.",So I immediately went out and I bought my mother and father each a new car; they had never had a new car and I had it delivered to Florida where they were retired.,0.9018113613128662
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Tundsin end nagu Inglismaa kuninganna.,I understand you like me as if I were the Queen of England.,I felt like the queen of England.,0.7737423181533813
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Tundsin end nii lahedana.,"The translation of the Estonian text ""Tundsin end nii lahedana"" to English is ""I knew you so well"".",I felt so cool about myself.,0.37137505412101746
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Teenisin sellest järgnevatel aastatel palju enam, kuid miski ei ole suutnud siiani pakkuda samaväärset tunnet kui võimalus anda oma vanematele midagi tagasi ja neid üllatusega rabada.","I struggled with this feeling for many years, but nothing has been able to provide the same sense of fulfillment as the possibility of giving something back to my parents and surprising them.","I made much better money than that in ensuing years, but nothing ever measured up to the ability to give back to a parent and take them by surprise.",0.799168050289154
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Kuidas te suutsite selle 11-aastase perioodi vältel end motiveerituna hoida, et töötamist jätkata?",How did you manage to motivate yourself to continue working over this 11-year period?,How did you stay motivated to keep working during that 11-year period?,0.9440386891365051
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Barbara Corcoran: Ma ei mõõtnud oma äritegevust kunagi kasumi järgi, kuna see ei olnud minu eesmärk.","I'm sorry, but I don't have the capability to translate text directly. However, I can help you understand the context or provide information related to the text. Could you please provide more details or clarify what you need help with?","Barbara Corcoran: I never measured my business by profit, because that's not what I was in for.",0.48338639736175537
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Soovisin lihtsalt näha, kui kaugele ma suudan jõuda.",I just want to see how far I can get.,I just wanted to see how far I could go.,0.9388872981071472
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Seadsin endale juba esimesel päeval unistuse saada New Yorgi kinnisvarakuningannaks.,"I'm sorry, but I don't have the capability to translate Estonian text to English. However, I can help you with other tasks or provide information on a wide range of topics. Is there anything else you need assistance with?","I set my dream, day one, ""I want to be the queen of New York real estate.""",0.4056190252304077
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Ja nägin end vaimusilmas justkui paavstina - kõik suudlevad mu sõrmust ja jumaldavad mind.,"And I saw myself in a spiritual realm, as if I were a pope - everyone bows to my ring and worships me.",And I pictured myself just like the Pope with everybody kissing my ring and adoring me.,0.7214004397392273
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Mu peas oli selline väike mõte.,"The translation of the Estonian text ""Mu peas oli selline väike mõte."" is ""I had such a small thought in my head.""",And I had that little idea in my head.,0.5790102481842041
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Seega, kui ma aina pingutasin iga päev, iga tund, siis ma tegelikult ei mõelnud raha teenimisele.","So, when I was constantly worrying about money every day, every hour, I wasn't actually thinking about earning money.","So when I was running hard, day after day, hour after hour, I never really thought about making money.",0.7478876709938049
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Lõpuks teenisin raha kogemata.,"The translation of the Estonian text ""Lõpuks teenisin raha kogemata"" to English is ""Finally, I earned money unexpectedly.""",I made money by accident eventually.,0.57200026512146
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Aga kogu raha, mis sisse tuli, suunasin kohe tagasi ärisse.","I'm sorry, but it seems like the translation you provided is incomplete. Could you please provide the full text you need translated?","But any money I saw coming in, I plowed right back into the business.",0.4047834575176239
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ma isegi ei usu, et mul üldse oli heidutavaid päevi, kus oleksin mõelnud, et oh jumal, me ei teeni raha.","I don't even believe that I had days that were so disturbing that I thought, ""Oh God, we're not making any money.""","I don't even think I had discouraging days where I thought, ""Oh God, we're not making money.""",0.8638082146644592
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Ma lihtsalt olin veendumusel, et miski hakkab toimima.",I simply believed that something was going to happen.,I just figured something was going to work out.,0.8833783268928528
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Kõige hullem, mis võinuks juhtuda, olnuks ettevõtte kaotamine ja uuesti ettekandjaks hakkamine.","The translation of the Estonian text to English is:
""The most frightening thing that could happen would be the loss of the company and having to start all over again as a presenter.""",The worst that could happen is I lose my company and go back to being a waitress.,0.7017121911048889
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Teenisin siis head jootraha ja olin õnnelik.,I then had a good meal and was happy.,I made great tips and I was happy then.,0.7053368091583252
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Võiksin jälle õnnelik olla.,I can be happy again.,I could be happy again.,0.9723544716835022
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Seetõttu ma ei usu, et paljude edu saavutanud inimeste suureks püüdluseks on raha.","Based on the context, it seems like the text is discussing the idea that many people who have achieved success do not strive for wealth as their primary goal. Here's a possible translation:
 Therefore, I do not believe that for many people who have achieved success, their main pursuit is money.",So I don't think money's a great aspiration for a lot of people that succeed.,0.7079105377197266
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Neil on teised ajendid, mis neid kannustavad.","The translation of the Estonian text ""Neil on teised ajendid, mis neid kannustavad."" is ""There are other reasons that encourage them.""",They they have other motivations that turn them on.,0.5534349679946899
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,Ja raha ei olnud üks minu omadest.,"The translation of the Estonian text ""Ja raha ei olnud üks minu omadest."" is ""And money was not one of my possessions.""",And money was not one of mine.,0.5892999768257141
translations_llama3-groq-8b-8192-tool-use-preview_et-en.csv,llama3-groq-8b-8192-tool-use-preview,et-en,et,en,unspecified,"Kas teil on mõni nõuanne kellelegi, kellel on sellised suured unistused, kuid keda hoiab tagasi rahaline tegur?",Do you have any advice for someone who has such big dreams but is held back by financial factors?,"Do you have advice for someone who has those big dreams, but the money factor is holding them back?",0.9282859563827515
